GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022200132,2022-11-05,orlando magic,sacramento kings,123,126,0.543,0.505,27,24,48,36,17,14,-3.0,3.0,0
0022200133,2022-11-05,brooklyn nets,charlotte hornets,98,94,0.393,0.372,23,22,41,50,11,15,4.0,-4.0,1
0022200134,2022-11-05,atlanta hawks,new orleans pelicans,124,121,0.456,0.435,28,23,50,59,13,16,3.0,-3.0,1
0022200135,2022-11-05,boston celtics,new york knicks,133,118,0.534,0.511,30,22,34,44,12,13,10.4,-12.6,1
0022200136,2022-11-05,milwaukee bucks,oklahoma city thunder,108,94,0.422,0.429,23,22,55,38,18,15,14.0,-14.0,1
0022200137,2022-11-05,houston rockets,minnesota timberwolves,117,129,0.476,0.613,27,38,33,36,22,24,-12.0,12.0,0
0022200138,2022-11-05,denver nuggets,san antonio spurs,126,101,0.609,0.488,37,28,47,28,16,15,22.4,-20.0,1
0022200139,2022-11-05,phoenix suns,portland trail blazers,102,82,0.427,0.38,22,22,44,40,14,17,20.0,-20.0,1
0022200140,2022-11-06,cleveland cavaliers,los angeles lakers,114,100,0.44,0.46,19,24,48,43,12,16,14.0,-14.0,1
0022200141,2022-11-06,chicago bulls,toronto raptors,104,113,0.455,0.427,27,28,46,52,17,9,-9.0,9.0,0
0022200142,2022-11-06,memphis grizzlies,washington wizards,103,97,0.429,0.427,20,25,50,49,10,10,6.0,-6.0,1
0022200143,2022-11-06,la clippers,utah jazz,102,110,0.494,0.467,22,18,32,42,13,20,-8.0,8.0,0
0022200144,2022-11-07,charlotte hornets,washington wizards,100,108,0.416,0.525,27,21,45,47,10,14,-8.0,8.0,0
0022200145,2022-11-07,houston rockets,orlando magic,134,127,0.529,0.549,31,27,40,37,20,19,7.0,-7.0,1
0022200146,2022-11-07,detroit pistons,oklahoma city thunder,112,103,0.419,0.402,20,23,58,46,14,10,9.0,-9.0,1
0022200147,2022-11-07,indiana pacers,new orleans pelicans,129,122,0.5,0.495,33,32,45,43,17,10,7.0,-7.0,1
0022200148,2022-11-07,philadelphia 76ers,phoenix suns,100,88,0.388,0.438,22,19,48,37,15,13,12.0,-12.0,1
0022200149,2022-11-07,atlanta hawks,milwaukee bucks,117,98,0.465,0.414,23,21,48,41,12,18,19.0,-19.0,1
0022200150,2022-11-07,miami heat,portland trail blazers,107,110,0.476,0.528,28,27,32,37,10,18,-3.0,3.0,0
0022200151,2022-11-07,chicago bulls,toronto raptors,111,97,0.525,0.424,30,24,49,31,21,14,14.0,-14.0,1
0022200152,2022-11-07,boston celtics,memphis grizzlies,109,106,0.463,0.451,26,27,45,45,15,11,3.0,-3.0,1
0022200153,2022-11-07,minnesota timberwolves,new york knicks,107,120,0.469,0.438,28,26,39,43,17,16,-13.0,13.0,0
0022200154,2022-11-07,denver nuggets,san antonio spurs,115,109,0.534,0.524,33,31,40,38,20,24,6.0,-6.0,1
0022200155,2022-11-07,brooklyn nets,dallas mavericks,94,96,0.438,0.444,22,18,34,41,13,22,-2.0,2.0,0
0022200156,2022-11-07,golden state warriors,sacramento kings,116,113,0.5,0.407,28,24,48,43,15,10,3.0,-3.0,1
0022200157,2022-11-07,los angeles lakers,utah jazz,116,139,0.488,0.558,15,30,33,41,16,14,-23.0,23.0,0
0022200158,2022-11-07,cleveland cavaliers,la clippers,117,119,0.518,0.506,29,19,48,31,17,9,-2.0,2.0,0
0022200159,2022-11-09,charlotte hornets,portland trail blazers,95,105,0.374,0.533,21,28,42,45,11,17,-10.0,10.0,0
0022200160,2022-11-09,denver nuggets,indiana pacers,122,119,0.489,0.469,27,28,47,44,20,18,3.0,-3.0,1
0022200161,2022-11-09,dallas mavericks,orlando magic,87,94,0.376,0.493,17,20,29,49,4,18,-7.0,7.0,0
0022200162,2022-11-09,atlanta hawks,utah jazz,119,125,0.468,0.468,24,27,54,47,11,13,-6.0,6.0,0
0022200163,2022-11-09,boston celtics,detroit pistons,128,112,0.534,0.416,31,15,43,48,12,10,16.0,-16.0,1
0022200164,2022-11-09,brooklyn nets,new york knicks,112,85,0.483,0.322,30,21,55,46,14,15,27.0,-27.0,1
0022200165,2022-11-09,houston rockets,toronto raptors,109,116,0.44,0.412,29,19,49,50,16,13,-7.0,7.0,0
0022200166,2022-11-09,chicago bulls,new orleans pelicans,111,115,0.506,0.5,23,20,35,50,15,16,-4.0,4.0,0
