Team,W_PCT,PLUS_MINUS,PTS,FG_PCT,AST,TOV,REB,STL,PF,BLK,Home_Win_PCT,Away_Win_PCT,PIE,eFG%,TOV%,ORB%,FTR
Memphis Grizzlies,0.30309677419354836,-65.6774193548387,1043.8064516129032,0.4433548387096774,255.09677419354838,154.67741935483872,431.3225806451613,73.83870967741936,210.25806451612902,50.32258064516129,0.5405405405405406,0.3888888888888889,0.507,0.528,0.147,0.271,0.23133587173675277
Miami Heat,0.74565625,52.0,1099.34375,0.47496875,248.15625,173.40625,441.625,83.8125,210.34375,44.15625,0.8055555555555556,0.4054054054054054,0.525,0.547,0.149,0.257,0.3296856390984263
Milwaukee Bucks,0.734,129.26666666666668,1271.4333333333334,0.4790333333333333,274.73333333333335,157.86666666666667,546.1666666666666,82.6,208.96666666666667,66.5,0.8571428571428571,0.6842105263157895,0.562,0.552,0.142,0.241,0.2729241581777186
Minnesota Timberwolves,0.55025,-21.5,1051.65625,0.433625,210.375,145.15625,438.53125,80.375,201.59375,58.21875,0.25,0.34375,0.472,0.514,0.146,0.264,0.3001147122984147
New Orleans Pelicans,0.27449999999999997,-40.0,1101.5,0.4555,246.16666666666666,154.0,438.3333333333333,75.16666666666667,218.66666666666666,46.833333333333336,0.4166666666666667,0.4166666666666667,0.495,0.539,0.156,0.287,0.22682291666666668
New York Knicks,0.2332121212121212,-77.21212121212122,987.8181818181819,0.42648484848484847,197.87878787878788,145.0909090909091,443.6666666666667,75.39393939393939,227.75757575757575,44.878787878787875,0.3333333333333333,0.303030303030303,0.461,0.501,0.143,0.3,0.28765570542148367
Oklahoma City Thunder,0.35329032258064513,1.3548387096774193,950.8064516129032,0.4507741935483871,188.70967741935485,133.58064516129033,387.93548387096774,66.87096774193549,180.16129032258064,42.45161290322581,0.6216216216216216,0.6,0.519,0.53,0.13699999999999998,0.241,0.30367689715015433
Orlando Magic,0.44121875,-13.75,964.28125,0.4160625,212.21875,123.84375,424.9375,79.875,172.875,61.9375,0.5142857142857142,0.3947368421052631,0.496,0.506,0.129,0.267,0.23322703792931773
Philadelphia 76ers,0.7824137931034483,47.96551724137931,1161.1724137931035,0.46362068965517245,279.2758620689655,170.06896551724137,492.44827586206895,91.79310344827586,236.17241379310346,61.89655172413793,0.8857142857142857,0.3157894736842105,0.523,0.534,0.142,0.281,0.2865034984591305
Phoenix Suns,0.47928125,8.625,1088.21875,0.4596875,265.125,138.4375,407.28125,72.65625,219.5625,35.9375,0.4358974358974359,0.5,0.512,0.532,0.145,0.261,0.2764927211997922
Portland Trail Blazers,0.47315625,-11.5625,1147.15625,0.45106250000000003,200.59375,140.21875,472.03125,60.75,236.46875,63.65625,0.5833333333333334,0.3684210526315789,0.486,0.533,0.126,0.266,0.2505546754547669
Sacramento Kings,0.26716666666666666,-39.666666666666664,1019.1666666666666,0.43546666666666667,219.06666666666666,152.73333333333332,410.2,73.66666666666667,212.8,45.333333333333336,0.4571428571428571,0.4054054054054054,0.479,0.534,0.144,0.258,0.21949396228557244
San Antonio Spurs,0.5456451612903226,-17.870967741935484,1075.3548387096773,0.4731290322580645,233.67741935483872,130.7741935483871,444.258064516129,61.67741935483871,183.1290322580645,55.483870967741936,0.5588235294117647,0.3513513513513513,0.502,0.531,0.12299999999999998,0.233,0.27444066389480426
Toronto Raptors,0.7501666666666666,64.83333333333333,1064.3333333333333,0.4583333333333333,238.0,148.33333333333334,441.5,77.33333333333333,203.33333333333334,49.333333333333336,0.7222222222222222,0.75,0.53,0.536,0.146,0.256,0.25994471097422367
Utah Jazz,0.6934193548387096,27.0,1032.0967741935483,0.464,205.25806451612902,155.38709677419354,437.7741935483871,59.67741935483871,206.58064516129033,39.806451612903224,0.6571428571428571,0.5675675675675675,0.513,0.549,0.152,0.261,0.285046365610192
Washington Wizards,0.29959375,-33.0,1074.0625,0.47175,249.1875,130.59375,384.6875,69.34375,204.21875,37.59375,0.4444444444444444,0.25,0.473,0.523,0.136,0.262,0.21942469966199674
