GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100081,2021-10-30,indiana pacers,toronto raptors,94,97,0.432,0.424,25,18,40,48,19,15,-3.0,3.0,0
0022100082,2021-10-30,atlanta hawks,philadelphia 76ers,94,122,0.379,0.535,24,24,49,37,19,12,-28.0,28.0,0
0022100083,2021-10-30,chicago bulls,utah jazz,107,99,0.429,0.38,16,15,45,54,9,20,8.0,-8.0,1
0022100084,2021-10-30,memphis grizzlies,miami heat,103,129,0.386,0.523,26,31,32,50,14,18,-26.0,26.0,0
0022100085,2021-10-30,milwaukee bucks,san antonio spurs,93,102,0.404,0.411,20,28,52,49,19,9,-9.0,9.0,0
0022100086,2021-10-30,golden state warriors,oklahoma city thunder,103,82,0.424,0.349,30,14,56,45,15,15,21.0,-21.0,1
0022100087,2021-10-30,denver nuggets,minnesota timberwolves,93,91,0.409,0.393,24,21,48,46,18,20,2.0,-2.0,1
0022100088,2021-10-30,cleveland cavaliers,phoenix suns,92,101,0.396,0.464,21,27,47,52,19,13,-9.0,9.0,0
0022100089,2021-10-31,dallas mavericks,sacramento kings,105,99,0.444,0.396,24,20,45,56,9,12,6.0,-6.0,1
0022100090,2021-10-31,charlotte hornets,portland trail blazers,125,113,0.517,0.443,36,30,44,47,8,12,12.0,-12.0,1
0022100091,2021-10-31,milwaukee bucks,utah jazz,95,107,0.406,0.467,16,13,44,44,9,12,-12.0,12.0,0
0022100092,2021-10-31,brooklyn nets,detroit pistons,117,91,0.653,0.405,30,21,41,29,19,15,26.0,-26.0,1
0022100093,2021-10-31,houston rockets,los angeles lakers,85,95,0.421,0.406,18,22,55,43,25,12,-10.0,10.0,0
0022100094,2021-11-01,charlotte hornets,cleveland cavaliers,110,113,0.416,0.433,27,21,46,49,17,16,-3.0,3.0,0
0022100095,2021-11-01,indiana pacers,san antonio spurs,131,118,0.571,0.528,37,34,39,36,14,16,13.0,-13.0,1
0022100096,2021-11-01,philadelphia 76ers,portland trail blazers,113,103,0.518,0.476,34,21,34,45,10,14,10.0,-10.0,1
0022100097,2021-11-01,atlanta hawks,washington wizards,118,111,0.458,0.477,24,27,47,36,11,12,7.0,-7.0,1
0022100098,2021-11-01,boston celtics,chicago bulls,114,128,0.438,0.57,20,30,38,50,9,14,-14.0,14.0,0
0022100099,2021-11-01,new york knicks,toronto raptors,104,113,0.461,0.434,20,24,41,48,16,8,-9.0,9.0,0
0022100100,2021-11-01,denver nuggets,memphis grizzlies,97,106,0.443,0.454,27,20,40,55,12,12,-9.0,9.0,0
0022100101,2021-11-01,minnesota timberwolves,orlando magic,97,115,0.371,0.451,21,21,47,51,12,16,-18.0,18.0,0
0022100102,2021-11-01,la clippers,oklahoma city thunder,99,94,0.38,0.389,18,17,51,51,12,16,5.0,-5.0,1
0022100103,2021-11-02,detroit pistons,milwaukee bucks,89,117,0.323,0.5,21,28,43,52,14,15,-28.0,28.0,0
0022100104,2021-11-02,dallas mavericks,miami heat,110,125,0.44,0.518,17,25,41,45,9,6,-15.0,15.0,0
0022100105,2021-11-02,sacramento kings,utah jazz,113,119,0.452,0.439,24,16,38,59,11,16,-6.0,6.0,0
0022100106,2021-11-02,new orleans pelicans,phoenix suns,100,112,0.396,0.524,21,32,43,42,17,19,-12.0,12.0,0
0022100107,2021-11-02,houston rockets,los angeles lakers,117,119,0.527,0.527,27,26,38,43,24,17,-2.0,2.0,0
0022100108,2021-11-03,cleveland cavaliers,portland trail blazers,107,104,0.527,0.444,29,24,43,39,17,9,3.0,-3.0,1
0022100109,2021-11-03,indiana pacers,new york knicks,111,98,0.462,0.414,26,23,49,46,11,10,13.0,-13.0,1
0022100110,2021-11-03,boston celtics,orlando magic,92,79,0.418,0.321,24,15,50,46,11,14,13.0,-13.0,1
0022100111,2021-11-03,chicago bulls,philadelphia 76ers,98,103,0.463,0.494,19,24,47,35,15,14,-5.0,5.0,0
0022100112,2021-11-03,toronto raptors,washington wizards,109,100,0.466,0.436,17,19,42,44,10,13,9.0,-9.0,1
0022100113,2021-11-03,atlanta hawks,brooklyn nets,108,117,0.436,0.489,23,34,52,42,14,14,-9.0,9.0,0
0022100114,2021-11-03,denver nuggets,memphis grizzlies,106,108,0.473,0.519,24,28,44,36,11,11,-2.0,2.0,0
0022100115,2021-11-03,la clippers,minnesota timberwolves,126,115,0.603,0.457,33,27,35,39,20,16,11.0,-11.0,1
0022100116,2021-11-03,dallas mavericks,san antonio spurs,109,108,0.43,0.489,21,25,56,40,19,15,1.0,-1.0,1
0022100117,2021-11-03,charlotte hornets,golden state warriors,92,114,0.374,0.488,18,33,49,53,16,16,-22.0,22.0,0
0022100118,2021-11-03,new orleans pelicans,sacramento kings,99,112,0.43,0.525,24,27,40,37,16,8,-13.0,13.0,0
0022100119,2021-11-04,detroit pistons,philadelphia 76ers,98,109,0.402,0.494,21,22,41,49,11,12,-11.0,11.0,0
0022100120,2021-11-04,atlanta hawks,utah jazz,98,116,0.427,0.506,18,30,32,46,9,14,-18.0,18.0,0
0022100121,2021-11-04,boston celtics,miami heat,95,78,0.397,0.346,16,18,46,45,16,18,17.0,-17.0,1
0022100122,2021-11-04,houston rockets,phoenix suns,111,123,0.432,0.473,25,29,43,46,18,12,-12.0,12.0,0
0022100123,2021-11-04,los angeles lakers,oklahoma city thunder,104,107,0.415,0.425,22,23,49,50,13,16,-3.0,3.0,0
0022100124,2021-11-05,brooklyn nets,detroit pistons,96,90,0.45,0.379,25,17,45,44,16,13,6.0,-6.0,1
0022100125,2021-11-05,orlando magic,san antonio spurs,89,102,0.393,0.444,23,23,43,48,18,13,-13.0,13.0,0
0022100126,2021-11-05,memphis grizzlies,washington wizards,87,115,0.354,0.583,19,34,39,53,9,18,-28.0,28.0,0
0022100127,2021-11-05,cleveland cavaliers,toronto raptors,102,101,0.458,0.424,22,20,39,45,17,9,1.0,-1.0,1
0022100128,2021-11-05,milwaukee bucks,new york knicks,98,113,0.402,0.427,19,16,37,59,15,14,-15.0,15.0,0
0022100129,2021-11-05,la clippers,minnesota timberwolves,104,84,0.409,0.348,18,17,62,42,17,21,20.0,-20.0,1
0022100130,2021-11-05,golden state warriors,new orleans pelicans,126,85,0.516,0.352,36,23,49,42,11,17,41.0,-41.0,1
0022100131,2021-11-05,indiana pacers,portland trail blazers,106,110,0.489,0.488,28,27,40,42,11,13,-4.0,4.0,0
0022100132,2021-11-05,charlotte hornets,sacramento kings,110,140,0.467,0.552,29,29,28,56,10,18,-30.0,30.0,0
0022100133,2021-11-06,denver nuggets,houston rockets,95,94,0.404,0.467,19,19,45,47,11,16,1.0,-1.0,1
0022100134,2021-11-06,miami heat,utah jazz,118,115,0.603,0.518,30,26,36,31,14,6,3.0,-3.0,1
0022100135,2021-11-06,chicago bulls,philadelphia 76ers,105,114,0.402,0.531,20,22,46,41,9,14,-9.0,9.0,0
0022100136,2021-11-06,boston celtics,dallas mavericks,104,107,0.488,0.526,20,19,36,40,11,15,-3.0,3.0,0
0022100137,2021-11-06,atlanta hawks,phoenix suns,117,121,0.433,0.511,18,26,50,42,12,12,-4.0,4.0,0
0022100138,2021-11-06,los angeles lakers,portland trail blazers,90,105,0.344,0.379,20,22,59,52,19,11,-15.0,15.0,0
0022100139,2021-11-07,brooklyn nets,toronto raptors,116,103,0.513,0.471,29,23,48,35,15,8,13.0,-13.0,1
0022100140,2021-11-07,cleveland cavaliers,new york knicks,126,109,0.544,0.459,31,21,48,32,15,10,17.0,-17.0,1
0022100141,2021-11-07,orlando magic,utah jazz,107,100,0.494,0.382,24,21,39,50,13,17,7.0,-7.0,1
0022100142,2021-11-07,milwaukee bucks,washington wizards,94,101,0.394,0.506,17,24,49,42,12,19,-7.0,7.0,0
